,score,scaled_score,feature
0,0.4194,1.0,insider
1,0.1496,0.3567000476871722,Insider
2,0.051,0.12160228898426323,INSIDER
3,0.0209,0.04983309489747258,insiders
4,0.0044,0.010491177873152123,definitive
5,0.0037,0.008822126847877922,Chattem
6,0.0037,0.008822126847877922,09-CV-8811
7,0.0033,0.007868383404864092,Rajaratnam
8,0.0033,0.007868383404864092,"20,900"
9,0.0028,0.006676204101096805,Cutillo
10,0.0025,0.005960896518836433,Santarlas
11,0.0024,0.005722460658082976,CALL
12,0.0022,0.005245588936576061,Fairchild
13,0.002,0.004768717215069147,Sepracors
14,0.0019,0.004530281354315689,09-CV-9208
15,0.0018,0.004291845493562232,classmate
16,0.0018,0.004291845493562232,Talbot
17,0.0016,0.0038149737720553174,TXU
18,0.0016,0.0038149737720553174,Beijing
19,0.0015,0.00357653791130186,Linked
20,0.0014,0.0033381020505484026,blackout
21,0.0014,0.0033381020505484026,Shpigelman
22,0.0014,0.0033381020505484026,Nothern
23,0.0014,0.0033381020505484026,ImClone
24,0.0014,0.0033381020505484026,Caesars
25,0.0014,0.0033381020505484026,Brisbane
26,0.0014,0.0033381020505484026,Autodesk
27,0.0013,0.003099666189794945,boss
28,0.0013,0.003099666189794945,Upjohns
29,0.0013,0.003099666189794945,Microsofts
30,0.0013,0.003099666189794945,Huang
31,0.0013,0.003099666189794945,Erbitux
32,0.0012,0.002861230329041488,socialized
33,0.0012,0.002861230329041488,gathered
34,0.0012,0.002861230329041488,Suez
35,0.0012,0.002861230329041488,Sprinkler
36,0.0012,0.002861230329041488,Nexen
37,0.0012,0.002861230329041488,Ginsburg
38,0.0011,0.0026227944682880307,thecommon
39,0.0011,0.0026227944682880307,Zelman
40,0.0011,0.0026227944682880307,Pajcin
41,0.0011,0.0026227944682880307,Manzo
42,0.0011,0.0026227944682880307,Lanexa
43,0.0011,0.0026227944682880307,Johns
44,0.0011,0.0026227944682880307,Axcan
45,0.0011,0.0026227944682880307,Akva
46,0.0011,0.0026227944682880307,"34,000"
47,0.001,0.0023843586075345735,leaked
48,0.001,0.0023843586075345735,Yu-Cheng
49,0.001,0.0023843586075345735,Thacher
50,0.001,0.0023843586075345735,Pipe
51,0.001,0.0023843586075345735,Penna
52,0.001,0.0023843586075345735,McPhail
53,0.001,0.0023843586075345735,Hollinger
54,0.001,0.0023843586075345735,Gianamore
55,0.001,0.0023843586075345735,Gansman
56,0.001,0.0023843586075345735,Bugenhagen
57,0.001,0.0023843586075345735,Banknorth
58,0.0009,0.002145922746781116,inillegal
59,0.0009,0.002145922746781116,Tippee
60,0.0009,0.002145922746781116,Shawzin
61,0.0009,0.002145922746781116,Sekhri
62,0.0009,0.002145922746781116,Polycom
63,0.0009,0.002145922746781116,Mentors
64,0.0009,0.002145922746781116,Koval
65,0.0009,0.002145922746781116,Gautham
66,0.0009,0.002145922746781116,AHEAD
67,0.0009,0.002145922746781116,97-Civ
68,0.0009,0.002145922746781116,"253,000"
69,0.0008,0.0019074868860276587,âORSAâ
70,0.0008,0.0019074868860276587,chemist
71,0.0008,0.0019074868860276587,abstain
72,0.0008,0.0019074868860276587,Sonja
73,0.0008,0.0019074868860276587,Potters
74,0.0008,0.0019074868860276587,Knee
75,0.0008,0.0019074868860276587,HUGH
76,0.0008,0.0019074868860276587,Glaxo
77,0.0008,0.0019074868860276587,Bonan
78,0.0007,0.0016690510252742013,tipper
79,0.0007,0.0016690510252742013,therapist
80,0.0007,0.0016690510252742013,serially
81,0.0007,0.0016690510252742013,logged
82,0.0007,0.0016690510252742013,golfer
83,0.0007,0.0016690510252742013,ensures
84,0.0007,0.0016690510252742013,Youngdahl
85,0.0007,0.0016690510252742013,Yokuty
86,0.0007,0.0016690510252742013,Waksal
87,0.0007,0.0016690510252742013,Tipper
88,0.0007,0.0016690510252742013,Thrasher
89,0.0007,0.0016690510252742013,Taffet
90,0.0007,0.0016690510252742013,Svoboda
91,0.0007,0.0016690510252742013,SOROOSH
92,0.0007,0.0016690510252742013,Rampino
93,0.0007,0.0016690510252742013,RING
94,0.0007,0.0016690510252742013,Prousalis
95,0.0007,0.0016690510252742013,PUFF
96,0.0007,0.0016690510252742013,Luxottica
97,0.0007,0.0016690510252742013,Kravis
98,0.0007,0.0016690510252742013,Hercules
99,0.0007,0.0016690510252742013,Hassan
100,0.0007,0.0016690510252742013,Guttenberg
101,0.0007,0.0016690510252742013,Gicale
102,0.0007,0.0016690510252742013,Dipietro
103,0.0007,0.0016690510252742013,CytoCore
104,0.0007,0.0016690510252742013,Chelsey
105,0.0007,0.0016690510252742013,Buenos
106,0.0007,0.0016690510252742013,Bray
107,0.0007,0.0016690510252742013,Biosystems
108,0.0007,0.0016690510252742013,Biltrite
109,0.0007,0.0016690510252742013,Bancorps
110,0.0007,0.0016690510252742013,Ardea
111,0.0007,0.0016690510252742013,Angelos
112,0.0007,0.0016690510252742013,Aires
113,0.0007,0.0016690510252742013,ABL
114,0.0007,0.0016690510252742013,"5,400"
115,0.0007,0.0016690510252742013,34-48551
116,0.0006,0.001430615164520744,upgrades
117,0.0006,0.001430615164520744,forfiscal
118,0.0006,0.001430615164520744,drinks
119,0.0006,0.001430615164520744,Wangs
120,0.0006,0.001430615164520744,Wainwright
121,0.0006,0.001430615164520744,Siemers
122,0.0006,0.001430615164520744,Lehrman
123,0.0006,0.001430615164520744,ImClones
124,0.0006,0.001430615164520744,IVAX
125,0.0006,0.001430615164520744,Henke
126,0.0006,0.001430615164520744,Geibel
127,0.0006,0.001430615164520744,Fricker
