word,score
Donovan,0.3764440643823454
Abe,0.36295750675230626
ABE,0.32415970708880004
Patel,0.3181127569510916
Steffes,0.310843026779143
Keith,0.30819904421947625
LOOMANS,0.30747741416508734
Gryphon,0.29417778291918895
Gryphon,0.2902379018979498
Loomans,0.28846232885104467
Loomans,0.28804335669585074
Bewkes,0.2805080419409633
BEWKES,0.2805080419409633
WAKSAL,0.2764073996779916
Playboy,0.2684140987101086
McClain,0.2676896147467007
Birnbaum,0.2672957066321498
Granite,0.26578556139693993
RAISOR,0.25985202872593804
Raisor,0.25985202872593804
